1	is_a	relationship	is_a	0	0	1
2	consider	metadata	consider	0	0	1
3	replaced_by	metadata	replaced_by	0	0	1
4	Involved_in	subset	Cross_product_review	0	0	0
5	Term not to be used for direct annotation	subset	gocheck_do_not_annotate	0	0	0
6	Term not to be used for direct manual annotation	subset	gocheck_do_not_manually_annotate	0	0	0
7	Aspergillus GO slim	subset	goslim_aspergillus	0	0	0
8	Candida GO slim	subset	goslim_candida	0	0	0
9	Generic GO slim	subset	goslim_generic	0	0	0
10	Metagenomics GO slim	subset	goslim_metagenomics	0	0	0
11	PIR GO slim	subset	goslim_pir	0	0	0
12	Plant GO slim	subset	goslim_plant	0	0	0
13	Fission yeast GO slim	subset	goslim_pombe	0	0	0
14	Yeast GO slim	subset	goslim_yeast	0	0	0
15	Prokaryotic GO subset	subset	gosubset_prok	0	0	0
16	Catalytic activity terms in need of attention	subset	mf_needs_review	0	0	0
17	Terms created by TermGenie that do not follow a template and require additional vetting by editors	subset	termgenie_unvetted	0	0	0
18	Viral overhaul terms	subset	virus_checked	0	0	0
19	negatively_regulates	gene_ontology	negatively_regulates	0	0	1
20	part_of	gene_ontology	part_of	0	0	1
21	positively_regulates	gene_ontology	positively_regulates	0	0	1
22	regulates	gene_ontology	regulates	0	0	1
23	mitochondrion inheritance	biological_process	0000001	0	0	0
24	exact	synonym_scope	exact	0	0	0
25	mitochondrial genome maintenance	biological_process	0000002	0	0	0
26	reproduction	biological_process	0000003	0	0	0
27	alt_id	synonym_type	alt_id	0	0	0
28	ribosomal chaperone activity	molecular_function	0000005	1	0	0
29	obsolete_molecular_function	molecular_function	obsolete_molecular_function	1	0	0
30	ribosome biogenesis	biological_process	0042254	0	0	0
31	protein binding involved in protein folding	molecular_function	0044183	0	0	0
32	unfolded protein binding	molecular_function	0051082	0	0	0
33	high affinity zinc uptake transmembrane transporter activity	molecular_function	0000006	0	0	0
34	low-affinity zinc ion transmembrane transporter activity	molecular_function	0000007	0	0	0
35	thioredoxin	molecular_function	0000008	1	0	0
36	protein disulfide isomerase activity	molecular_function	0003756	0	0	0
37	disulfide oxidoreductase activity	molecular_function	0015036	0	0	0
38	alpha-1,6-mannosyltransferase activity	molecular_function	0000009	0	0	0
39	trans-hexaprenyltranstransferase activity	molecular_function	0000010	0	0	0
40	vacuole inheritance	biological_process	0000011	0	0	0
41	single strand break repair	biological_process	0000012	0	0	0
42	single-stranded DNA specific endodeoxyribonuclease activity	molecular_function	0000014	0	0	0
43	phosphopyruvate hydratase complex	cellular_component	0000015	0	0	0
44	lactase activity	molecular_function	0000016	0	0	0
45	broad	synonym_scope	broad	0	0	0
46	alpha-glucoside transport	biological_process	0000017	0	0	0
47	regulation of DNA recombination	biological_process	0000018	0	0	0
48	regulation of mitotic recombination	biological_process	0000019	0	0	0
49	narrow	synonym_scope	narrow	0	0	0
50	negative regulation of recombination within rDNA repeats	biological_process	0000020	1	0	0
51	obsolete_biological_process	biological_process	obsolete_biological_process	1	0	0
52	negative regulation of mitotic recombination	biological_process	0045950	0	0	0
53	mitotic spindle elongation	biological_process	0000022	0	0	0
54	maltose metabolic process	biological_process	0000023	0	0	0
55	maltose biosynthetic process	biological_process	0000024	0	0	0
56	maltose catabolic process	biological_process	0000025	0	0	0
57	alpha-1,2-mannosyltransferase activity	molecular_function	0000026	0	0	0
58	ribosomal large subunit assembly	biological_process	0000027	0	0	0
59	ribosomal small subunit assembly	biological_process	0000028	0	0	0
60	mannosyltransferase activity	molecular_function	0000030	0	0	0
61	mannosylphosphate transferase activity	molecular_function	0000031	0	0	0
62	cell wall mannoprotein biosynthetic process	biological_process	0000032	0	0	0
